start,end,text
302000,306000," Der er jo tit mange, der siger, at jeg ikke kan gå med ædesten, at det bliver for dame til mig."
306000,311000," Der må jeg bare sige, at det handler om, hvad er det for en type ædesten, og så selvfølgelig, hvad er det for en metal."
311000,318000," Fordi når du ser den her mega rødt, men præcis den samme ædesten i guld, men forgyldt,"
318000,324000," det er rigtigt, så kan det blive meget dame til nogen, eller mere feminin i hvert fald."
324000,326000," Men prøv at se, hvor stor forskel der er."
326000,330000," Så derfor er det simpelthen ikke rigtigt, når man siger, at jeg ikke kan gå med ædesten."
330000,336000," Det kan du netop, det handler bare om, hvad er det for en ædesten, og hvad er det for et metal, du vælger."
336000,343000," Hvis hun virkelig skal forkæles, det er der jo heldigvis nogen, så kan vi jo selvfølgelig snakke diamanter,"
343000,348000," den viser jeg en anden dag, men jeg vil vise mine Lovebeats halskæder,"
348000,351000," fordi, det synes jeg er længe siden, jeg har fortalt lidt om dem,"
351000,355000," men det er jo nogen, som jeg selv håndlaver, jeg designer jo det hele,"
355000,360000," det bliver produceret hos de bedste i vores produktion i Indien og i Belgien, Anverben,"
360000,366000," men de her Lovebeats, dem laver jeg her i Danmark, og der er kun en af hver,"
366000,373000," og den her sorte, kalder vi Chanel, prøv at se hvor godt det ser også ud til det, jeg har på nu,"
373000,380000," den er, altså det er faktisk min egen, jeg viser jer nu, den som jeg selv går med,"
380000,385000," som er med hvidagal, hvid topaz, og sort onyx, og mother of pearl,"
385000,390000," de ligger så til 7.000 kroner, men det er, og det er altså, det er også virkelig mange ædesten, der er på dem,"
390000,395000," det er en meget, meget stor arbejde at lave dem, de er meget fantastiske, hvis jeg selv skal sige det."
395000,399000," Så skærhundforkæls, og dem laver jeg jo i alle mulige varianter, de ædesten man ønsker,"
399000,405000," prøv at se hvor godt det ser ud, altså jeg synes, jeg synes, at det virkelig bryder det,"
405000,410000," at man har sådan en sweater og så sådan en Lovebeats, det gør altså virkelig, det siger bare vum."
410000,415000," Lovebeats er ikke på nettet, de er kun i vores butikker, for der er kun en af hver,"
415000,417000," så derfor er de ikke på nettet."
417000,422000," Så det var lidt gode gave, ej den sidste jeg simpelthen lige skal vise som en rigtig god gave,"
422000,428000," det er selvfølgelig vores små Precise ørestikkers, de ligger til, jeg mener det er 549."
428000,434000," Helt enkelt, så hvis man bare lige skal have en lille ørestik, så er den selvfølgelig rigtig, rigtig god, meget nem."
434000,441000," Og jeg har selvfølgelig også lavet helt små, klassiske perler, jeg har selvfølgelig helt små,"
441000,448000," klassiske perleørestikkers, som dem her, men en af mine egne favoritter, når vi snakker perler,"
448000,453000," det er dem her, nu skal jeg lige vende dem om, for det er sådan der, de skal vende."
453000,460000," Pearly Whites med hvidtupas ædersten, den er så smuk, den har jeg måske også lagt mærke til,"
460000,462000," at jeg selv bruger rigtig meget."
462000,466000," Den sidste I får lov at se fra i dag, I må endelig, hvis der er nogle spørgsmål eller noget,"
466000,472000," låg mig og skriv en privat besked, eller kommenter herunder, jeg elsker når I skriver og spørger."
472000,476000," Men den sidste jeg vil vise, det er powerkæden, fordi hvis man tænker,"
476000,482000," \"ah, min hustru, min datter, min veninde, hun skal virkelig have bekræftelse i,"
482000,486000," hvor stærk og hvor sej og hvor fantastisk en kvinde hun er, og er kvinder og kvinder bedst,"
486000,488000," så skal hun have powerkæden."
488000,493000," Powerkæden er jo et symbol på kvinders styrke, det er en kombination af hjertet og pis og kvindetegnet i et,"
493000,495000," et symbol på, hvilke kvinder vi er."
495000,500000," Nu banner jeg fucking sej, fordi det er vi, og den har jeg lavet i mange forskellige varianter."
500000,506000," Så det var det et rigtig godt gaveidé at huske, at vi har åbnet alle dage frem til jul, undtaget søndag selvfølgelig,"
506000,511000," men alle andre dage, og på lørdag har vi ekstra længe åbent i vores butik på Plejnomsvej,"
511000,517000," hvor både min mor og jeg er her, og der er gløg i stridestrømmen og juleknase og alt sådan noget,"
517000,520000," fra kl. 10 til kl. 16."
520000,526000," Hvis I ikke har mulighed for at komme ind til vores butikker, så kan I jo altid skrive en privat besked,"
526000,531000," få råd og vejledning online, det gør vi rigtig, rigtig gerne, vi er rigtig, rigtig gode til det."
531000,538000," Og den sidste ting jeg vil sige, det er, at julegaver byttes ind til den 7. januar er det, i 2022."
538000,541000," Er det ikke vildt at skulle sige 2022? Jeg synes det er så crazy."
541000,543000," Så det var lidt om julegaver."
543000,547000," Tak fordi I så med derude, og husk, spørgsmål så skriver jeg bare."
