start,end,text
296000,307000," Og faktisk havde min mor og jeg en lille kamp om dem her sidste vinter, fordi jeg var sådan lidt \"Nej, jeg skal jo prøve at rydde lidt op nogle gange i mine kollektioner\"."
307000,310000," Og havde egentlig sådan \"Nej, jeg synes, vi skulle lade dem gå ud, den her\"."
310000,313000," Og mor, hun blev ved med at insistere."
313000,318000," Altså, det var helt sindssygt. \"Vi skal ikke lade dem gå ud, og det skal vi ikke!\""
318000,324000," Okay mor, det plejer at være mig, der ligesom... altså, det er jo mine designs, så jeg plejer at have the last word."
324000,329000," Men det fik jeg ikke her, og det er jeg faktisk rigtig glad for, at jeg gjorde, fordi de er bare..."
329000,333000," altså nu har jeg dem selv på i sort, men her i guld er virkelig smukt."
333000,337000," Og det er så JATAC 02 til 1699."
337000,340000," Normalt pris er 2499."
340000,344000," Så dem skal jeg altså takke mor Manneke for, at de stadig er i min kollektion."
344000,352000," Ja, vi kan godt nogle gange have en lille fistfight, og med designsene er det generelt mig, der vinder, eftersom det er mine designs."
352000,357000," Men nogle gange, så hører man vel på sin mor, altså. Ja, bevares."
357000,361000," Hun får ret, jeg får fred, eller hvad man siger."
361000,367000," JATAC 03 er Simple Kloster, som er til 1399."
367000,370000," Normalt pris er det 1999."
370000,375000," Det er også en rigtig god form, det her med, at den går ud, og så går den ind igen."
375000,380000," Det er også en ørereng, der giver noget liv, så den er også super flot, hvis man skal f.eks. have den på til fest."
380000,385000," Ja, men Anne-Margrit... ja, min mor, hun havde ret."
385000,388000," Men jeg synes jo også, de var mega smukke, dengang jeg designede dem."
388000,391000," Det er jo ikke fordi, at jeg har lavet rigtig mange designs gennem tiden."
391000,399000," Jeg tror måske, altså jeg vil sige på den anden side af tusind, men jeg har også lavet rigtig mange udgå, fordi man skal jo selvfølgelig lade lidt udgå."
399000,406000," Men det er jo også en del af den her øvelse med, hvad er så de ikoniske designs, hvad er det, der ligesom kendetegner mig og min stil."
406000,412000," Og der er alle dem, jeg viser nu, også virkelig ikonerne, og det er den konstens også."
412000,416000," Så det må jeg altså også give mor Manneke, at tak for det, mor."
416000,428000," Så har vi Jatak 04, som er mini-multihub her i Sølv til 899,- normalpris er 1299,-."
428000,439000," Jeg skal lige sige igen, den her, hvis I deler live den her, mens vi er live, så deltager I konkurrence omkring de her fire meget lækre sæber fra Flor..."
439000,440000," Hvad hedder det? Oti og Cecilia."
440000,443000," Flora, som både dufter fantastisk og ser fantastisk ud."
443000,445000," Så I skal bare give den gas og dele den her live."
445000,449000," Jeg trækker en vinder, så snart jeg er færdig med liven."
449000,456000," Så er vi i Jatak 05. Ja, det er simpelthen så noget så enkelt som en hub."
456000,459000," Ja, den bruger jeg rigtig meget selv."
459000,467000," Og her er det så i sort sølv, og det er Jatak 05 til 1099,- normalpris er 1599,-."
467000,470000," Sort sølv, superflot, superrødt, alt er godt."
470000,473000," Og det var altså Jatak 05 til 1099,-."
473000,478000," Jeg ved godt, der ser sådan lidt mørkt ud herinde, men det er simpelthen tak Birgit, fordi du deler."
478000,488000," Det er simpelthen fordi, at jeg har fundet ud af, at den her ring light, som der er rundt omkring mig her, den fungerer bedre med lyset, når ikke der er særlig meget lys herinde."
488000,489000," Så det er derfor, der ser en lille smule mørkt ud."
489000,492000," Jeg skal da også lige huske at vise, hvad jeg har på at tøje i dag."
492000,502000," Ja, meget enkelt, sorte nederlæggings, ret flot ny blonde top, synes jeg selv fra Elisabeth, der laver de smukkeste ting."
502000,503000," Og sort inden."
503000,506000," Hej Marianne også, tak fordi du deler."
506000,511000," Og så har jeg Constance på i sort, som der også er en Jatak'er på, men det kommer som det sidste."
511000,512000," Altid menes som det sidste."
512000,523000," Nå, men vi er tilbage til Jatak 06, som er, hvad hedder det, mini solitaire med hvide topaz ædesten i sort sølv."
523000,527000," Og jeg bruger jo hvide topaz, jeg bruger kun ædesten."
527000,530000," Og de små hvide topaz her, det ligner jo de diamanter."
530000,536000," Hos andre, der bruger små hvide sten, der vil I læse, at der står zirkoner."
536000,537000," Det er altså glas."
537000,541000," Jeg kunne ikke drømme om at bruge noget, der er glas og uægte."
541000,547000," Altså, jeg bliver jo helt hysterisk, fordi det er jo meget normalt at bruge zirkoner og det der."
547000,552000," Så jeg kan også nogle gange komme ud foran min levandeur og sige, \"You wanna use the sissies? I don't wanna fucking use the sissies.\""
552000,556000," Undskyld, jeg bander, men jeg vil ikke bruge noget, der ikke er ægte."
556000,560000," Altså, det er jo det, der er så fantastisk, at naturen skaber det her."
560000,562000," It's outstanding."
562000,566000," Og det her er altså så Jatak 6 til 1399."
566000,569000," Normalt pris er det 1999."
569000,572000," Hej, Jeanette. Tak, fordi du også ser med."
572000,579000," Så er jeg her ved Jatak 7, som er solitaire."
579000,581000," Igen, super god form."
581000,583000," Wupdi. Nem at bruge."
583000,586000," Prøv at se, hvor flot det ser ud her. Wow."
586000,590000," I kan godt se, at den er rigtig god, fordi den stopper lige der ved kæben."
590000,593000," Jatak 7 til 699."
593000,595000," Normalt pris er det 999."
595000,600000," Hvis der er noget, I vil købe, så kommenterer I som sagt bare med numret Jatak, det numre herunder."
600000,603000," Overfør på mobilepay 23 473."
603000,605000," Det er så nemt."
605000,607000," Nu kommer vi så til Queen."
607000,611000," Og Queen har jeg også, det er rigtig, rigtig mange år siden, jeg designede den."
611000,618000," Jeg har så her for nylig opdateret den, så jeg har lavet et nyt prægning på den."
618000,626000," Tidligere var den lidt mere glat, men det er jo også det, jeg godt kan lide ved, at jeg udvikler nogle af mine ikoniske designs, som jeg så har gjort med den her."
626000,631000," Og det er Jatak 8 til 999 her i forgyldt sølv."
631000,633000," Normalt pris er 1499."
633000,640000," Det der er ved Queen, og også nu vil I se nogle af mine andre ikoner senere, det er, at jeg har lavet dem i meget, meget tynd sølv."
640000,644000," Der sker ikke noget med dem, men det der er, er, at de vejer ingenting."
644000,646000," Og prøv at se her."
646000,648000," Det ser så smukt ud."
648000,654000," Jeg kan jo også godt lide, når en ørering bevæger sig, fordi det giver noget liv, og det gør også, at man ser øreringen mere."
654000,656000," Og så det her med, at den ikke vejer noget."
656000,658000," Det næste er lavet i det samme metal."
658000,664000," Det er Mini Triple Leaves her i sølv, som er Jatak 9 til 499."
664000,666000," Normalt pris er det 749."
666000,669000," Det er altså bare en klassiker."
669000,672000," Jeg tror, at min mor har den på stort set hele tiden."
672000,677000," Hun har den så mest på i sort sølv, og hun går aldrig med sølv."
677000,680000," Men hun har den mest på i sort sølv og i forgyldt og rosa."
680000,682000," Jeg kan ikke holde styr på hende."
682000,689000," Men det er bare, og den er god uanset hvilken alder man er, uanset hvilken højde, uanset hvilken hårfarve, uanset hvilken øjnefarve."
689000,691000," Så er det bare en klassiker."
691000,695000," Og det er altså Jatak 9 til 499 for den i sølv."
695000,697000," Normalt pris er 749."
698000,701000," Den samme variat har jeg så lavet i en større."
701000,705000," Hej, Lisa og Tove og Elisabeth. Tak, fordi I så med."
705000,708000," Her har jeg så Triple Leaves i den store variat."
708000,711000," Og igen, nu viser jeg det rosa guld."
711000,716000," Fordi jeg synes, at det rosa guld er rigtig smukt, når vi har en stor øregang her om vinteren."
716000,720000," Fordi det giver os lidt mere farve og lidt mere glød."
720000,725000," Det er altså Jatak 10 til 1399."
725000,729000," Inden jeg viser de tre sidste og fortæller en historie om den næste,"
729000,732000," så skal jeg lige huske at sige, at hvis I deltager i den her live undervejs,"
732000,737000," så deltager I konkurrenten omkring den her meget lækre pakke med fire Florio sæber."
737000,741000," Så det er bare med at dele den her live, mens jeg er i gang."
741000,743000," Og så trækker jeg en minder til sidst."
743000,746000," I går lavede jeg en live på vores Jyvle CPH-konto."
746000,749000," Og der gjorde jeg det samme med at dele den her live."
749000,753000," Men jeg skal finde på noget andet, fordi det der er, når man er på en virksomhedskonto,"
753000,756000," det er, at jeg ikke kan se, hvem der deler."
756000,759000," Det kan jeg her, men det kan jeg ikke på en virksomhedskonto."
759000,761000," That is a little weird."
761000,763000," Men man finder ud af noget hver dag."
763000,765000," Så i går kunne jeg simpelthen ikke trække en minder,"
765000,767000," og det synes jeg var lidt pinligt, når jeg havde lovet det."
767000,769000," Men i dag ved jeg, at jeg kan."
769000,772000," Og så må jeg finde ud af noget nyt på Jyvle CPH-konto,"
772000,775000," hvordan jeg der kan lave et eller andet sjov undervejs."
775000,779000," Men igen, den her, hvis I deler live, mens vi er i gang,"
779000,781000," så er I med i konkurrencen om den."
781000,786000," Den næste, det er en kæde, der betyder rigtig, rigtig meget for mig."
786000,790000," Det er med power-tegner, og den betyder meget for mig og min mor."
790000,793000," Det her tegn har vi udviklet sammen, det er et,"
793000,799000," og sammen med Sanger In Auer faktisk for, jeg tror det er 12-14 år siden."
799000,802000," Det er en kombination af hjertet og pis og kvindetegnet et,"
802000,804000," og jeg er faktisk patent på det tegn."
804000,807000," Og det er et symbol, der står for kvinders styrke."
807000,809000," Jeg tror jo meget på det her, at kvinder er kvinder bedst."
809000,812000," Der er nogen, der har en frygtelig uværende med at sige,"
812000,814000," at kvinder er kvinder værst, og jeg har lyst til at,"
814000,817000," hvad hedder det, låste dem i rumpen, når de siger det,"
817000,819000," fordi det er bullshit."
819000,823000," Fordi når jeg tænker tilbage, bevare os, jeg elsker mænd, bevare os."
823000,827000," Men kvinder, vi har bare en anden måde at forstå hinanden på."
827000,829000," Plus, at jeg synes jo også, det er fantastisk,"
829000,831000," hvis man har en mand, der virkelig værdsætter,"
831000,834000," at han har en stærk kvinde, og det er ikke stærkt som i,"
834000,837000," at hun skal råbe op, og ligesom, jeg for eksempel er meget til,"
837000,840000," at udad til os, og sige min holdning og alle de her ting."
840000,842000," Men det er ikke kun det, der er at være stærk."
842000,844000," Det er jo også at være stærk i forhold til, at man klarer hjemmet,"
844000,849000," man klarer sit arbejde, men der er rigtig mange ting i det at være stærk."
849000,851000," Og uanset hvad, så synes jeg det er fantastisk,"
851000,854000," både at vi kvinder er med til at løfte hinanden,"
854000,858000," og så at vi har mænd, som også er med til at løfte os,"
858000,860000," som også synes, fuck hvor er du sej, skat,"
860000,862000," eller hvor er det godt gået."
862000,865000," Vi skal løfte hinanden, og der er powertegnet et symbol"
865000,867000," på kvinders styrke."
867000,870000," Og den har jeg lavet i mange forskellige varianter."
870000,873000," Lige i dag har I så, hvad hedder det,"
873000,875000," lige i dag synes jeg også det er lidt sjovt,"
875000,878000," at kronprinsessen fylder 50 år, og hun er jo om noget en stærk kvinde."
878000,880000," Faktisk så jeg forsiden af et eller andet magasin,"
880000,884000," hvor hun har lært af sin mor, hun har lært at være ligeglad,"
884000,886000," hvad andre siger om hendes mening."
886000,889000," Og det må man sige, har jeg også lært, at bare være sig selv."
889000,891000," Og det synes jeg jo er rigtig vigtigt, det der med,"
891000,893000," at vi bare er os selv."
893000,896000," Og powerkedden minder mig om, at vi skal være os selv,"
896000,898000," men også, at vi skal løfte hinanden."
898000,900000," Fordi kvinder er kvinder bedst."
900000,903000," Hej Inge-Lise, tak fordi du også er med."
903000,906000," Så powerkedden har en helt særlig betydning."
906000,908000," Der er rigtig mange, der giver den i gave,"
908000,910000," men der er også rigtig mange kvinder, som siger til mig,"
910000,913000," \"Maj, jeg købte den her, da jeg fik mit eksamensvis,"
913000,915000," eller da jeg var gået fra min ekskæreste,"
915000,918000," eller da jeg skulle komme over en sov.\""
918000,922000," Der er bare så meget forbundet med powerkedden,"
922000,925000," at man ikke helt forstår det, før man har haft den selv,"
925000,927000," og sidder med tegnet i hånden og tænker,"
927000,930000," \"Ja, det er rigtigt.\""
930000,932000," Det er virkelig et stærkt symbol."
932000,935000," Det synes jeg selv, og jeg er meget stolt over at have lavet det."
935000,938000," Det er så JATAK 11 til 1049,"
938000,941000," når det er den her, som jeg har med i dag,"
941000,944000," som er på 79 cm kæde,"
944000,947000," og så er det til 1499, som det normalt koster."
947000,950000," Men JATAK 11 er altså til 1049."
950000,954000," Jeg skal lige skynde mig og gå tilbage til den første JATAK 1,"
954000,957000," for der er det kun indtil kl. 19.30 i dag,"
957000,960000," at der er en virkelig god pris på dem."
960000,964000," Det er JATAK 1 til 1099, indtil kl. 19.30."
964000,968000," Normalt priser det 1899, multi-hoops i rosa gulv."
968000,974000," Så kommer der en, som er et \"sweetheart\" i den grad."
974000,978000," Det er mit \"classic heart\", kalder jeg det faktisk."
978000,980000," Det var også et af mine første designs,"
980000,983000," som ret hurtigt blev et ikonisk design,"
983000,986000," også da jeg lavede det."
986000,989000," Men hvor har vi såldt mange hejsede."
989000,993000," \"Du skulle spise færdig, skuddu, før du ser mig på live.\""
993000,996000," \"Hallo? Når jeg er live, så skal man da bare sidde med, ikke, Inge-Lise?\""
996000,998000," \"Nej, det er okay.\""
998000,1000000," Vi skal faktisk ud at spise i aften også."
1000000,1002000," Jeg har inviteret mine forældre og svigerinde."
1002000,1005000," Min mor er i sommerhus, men jeg har inviteret mine forældre og svigerinde"
1005000,1009000," på Dang-Ni-Terr og på Mads, og det glæder jeg mig sygt meget til."
1009000,1014000," Og uden fucking mundbind og coronapads, så alt det lort der."
1014000,1017000," Okay, det kan jeg godt sige til jer."
1017000,1022000," Jeg har faktisk begyndt at sige tillykke til folk, der siger, at de har fået corona."
1022000,1025000," Fordi ved I hvad? Så får I naturlig immunitet, og så er alt godt."
1025000,1027000," Vi skal bare have et overstået af det der."
1027000,1030000," Og det er ikke corona, man dør af. Det er alt muligt andet, man dør af."
1030000,1033000," Og lige nu, hvor der er så mange operationer, der har været aflyst,"
1033000,1035000," og folk bliver for sent opdaget i behandling og sådan noget."
1035000,1039000," Det er sindssygt. Nå, jeg skulle ikke snakke corona, men jeg kan ikke lade være."
1039000,1042000," Fordi jeg er sådan overalt det, der har været sket de sidste to år."
1042000,1045000," Men heldigvis er der rigtig mange, der er vågnet op."
1045000,1048000," Så fik I også lige den med. Det kan I ikke undgå hos mig."
1048000,1051000," Det her er et af mine ikoniske designklassikarer."
1051000,1054000," Den er slet ikke god til det, jeg har på nu, fordi der er for meget blonde."
1054000,1059000," Men en enkelt t-shirt, en kjole, er det en kjole med et mønster, blomster på."
1059000,1065000," Meget smukt. Og det er så i forgyldt her i 79 cm længde."
1065000,1071000," Og det er tak 12 til 1399. Normalpris er 2099."
1071000,1076000," Så kommer vi til den sidste. Ja, nu er vi ved at være ved vejs ende, venner."
1076000,1080000," Og hvis der er noget, I brænder ind med, tænker spørgsmål, så husk lige at sige til."
1080000,1084000," Og så siger jeg lige som det sidste igen. Hvis I deltager i den her live undervejs,"
1084000,1089000," så deltager I i konkurrencen omkring den her meget lækre, den dufter så godt."
1089000,1092000," Altså jeg er helt ked af, at jeg ikke..."
1092000,1096000," Ej, den dufter simpelthen så fantastisk."
1096000,1101000," Flora jo, den er sådan, duftnoter jasmin og blomsterduft."
1101000,1107000," Vi har jo alle de her Ortiga Cecilia dufte, og de er bare simpelthen så dejlige."
1107000,1109000," Og så smukt indpakning altså."
1109000,1114000," Men hvis I deltager i den her live undervejs nu, så deltager I i konkurrencen omkring den her."
1114000,1116000," Og jeg trækker lige så snart, jeg er færdig."
1116000,1122000," Lige inden jeg slutter, skal jeg lige huske at sige, at grunden til, at der står alt det der tøj dernede,"
1122000,1124000," det er altså ikke fordi, vi er begyndt at sætte tøj i butikken."
1124000,1130000," Det er simpelthen fordi, at i morgen kl. 16 har vi på min mors Facebook-profil Garderobesal live."
1130000,1133000," Så det vil sige, at jeg har virkelig ryddet op i min garderobe."
1133000,1136000," Jamen, den dufter middelhavet. Er det ikke rigtigt, Erlend Mark?"
1136000,1140000," Grindt, Florian. Jeg har virkelig ryddet op i min garderobe, og det samme har min mor."
1140000,1146000," Og det er kl. 16 i morgen, at vi laver en live på hendes profil, hvor vi sælger ud af garderoben."
1146000,1148000," Og det er derfor, der er en masse tøj dernede nu."
1148000,1151000," Jeg ved godt, det ruder lidt. Jeg har sendt lidt træt i hovedet over, der ruder så meget."
1151000,1153000," Men jeg tænker, det kan I godt se bortfra."
1153000,1156000," Den sidste, det er som altid dem, jeg har på."
1156000,1158000," Det er, hov, har den lige drejet sig?"
1158000,1160000," Jamen, jeg tog den jo også lige af og på før."
1160000,1163000," Det er, hvad hedder det?"
1163000,1167000," Det er godt, du skal lige være klar i morgen kl. 16."
1167000,1172000," Så Inge-Lise, der er det kl. 16. Der er det ikke 16.05 eller 16.10 eller 16.30."
1172000,1174000," Det er kl. 16. Vi går live i morgen."
1174000,1176000," Jeg er ret god til at være præcis. Det er min mor ikke."
1176000,1179000," Men når jeg er sammen med hende, så er vi ret gode til at være præcise."
1179000,1185000," Ja tak, 13 er Constance i sort tøj til 1699."
1185000,1187000," Normalt pris er det 2499."
1188000,1190000," Det er jo super cool til det, jeg har på nu her."
1190000,1193000," Netop med, hvad hedder det?"
1193000,1196000," Sneakers. Jeg er ret glad for Chanel sneakers, det kan jeg godt afsløre."
1196000,1198000," En lederlæggingsblonde top."
1198000,1202000," Og så dem her til at give et lidt rødt look."
1202000,1205000," Er det ikke sjovt, Inge-Lise? Min mor, hun er sådan..."
1205000,1207000," Inge-Lise skrev forleden."
1207000,1212000," Hvornår lærer jeg, at du og din mor, mig, I er sådan plus minus på tiden."
1212000,1214000," Jeg vil så sige, at jeg er rigtig god til at være præcis."
1214000,1220000," Fordi jeg er selv rigtig irriteret, hvis jeg tror, at jeg skal være et eller andet sted kl. 5, og så er det 17.30, og vedkommet kommer."
1220000,1222000," Men min mor er ikke helt så god."
1222000,1226000," Det er okay, fordi det har man måske vendt sig til."
1226000,1232000," Men sådan er vi så forskellige alle sammen, og det er jo det, der er så fantastisk ved os at være forskellige individer."
1232000,1236000," Ja tak, 13 til 1699."
1236000,1239000," Normalt pris er 2499."
1239000,1243000," Det var faktisk det, jeg havde af spændende sager til jer i dag."
1243000,1244000," Tak fordi I så med."
1244000,1251000," Og husk, I har lige to sekunder til at dele den her live endnu, fordi så er I med i konkurrencen omkring den her fløje."
1251000,1258000," Og det sidste jeg lige siger igen, det er, at der er jo de her multihoops, som jeg har et rigtig godt ja tak tilbud på."
1258000,1266000," Her, ja tak 1 til 1099, men det gælder altså kun til 19.30 i dag, lørdag den 5. februar."
1266000,1268000," Og normalt pris er 1899."
1268000,1274000," Hvis I ser den her live efter kl. 19.30, så er alle de andre ja tak tilbud der stadig."
1274000,1278000," I kommenterer bare eller sender mig en privat besked med, hvilket smykke I vil købe."
1278000,1283000," Overfør på mobilepage 23 473."
1283000,1286000," Og så sender vi gratis."
1286000,1288000," Men de her er altså kun til kl. 19.30."
1288000,1293000," Alle de andre tilbud, de er ligesådan en video nær dig."
1293000,1295000," Men vi sletter dem altså løbende."
1295000,1297000," Så det var det, jeg havde til jer for i dag."
1297000,1301000," Claus, du kom simpelthen på lidt for sent, fordi nu er jeg ved at slutte."
1301000,1303000," Selv tak, Anne-Marie."
1303000,1305000," Tak fordi I så med allesammen."
1305000,1306000," De her verdens bedste aften."
1306000,1312000," Og så vil jeg lige sige, at mit yndlingsmotto er \"YOLO, you only live once\"."
1312000,1314000," Så lad os fucking leve hver dag."
1314000,1316000," Altså undskyld, jeg kan ikke gøre for det."
1316000,1318000," Tak fordi I så med."
